rep_id,rep_name,region,load_date,record_source
101,Ada Lovelace,NORTH,2024-01-01,E2E-sales-rep
102,Grace Hopper,SOUTH,2024-01-01,E2E-sales-rep
103,Alan Turing,EAST,2024-01-01,E2E-sales-rep
104,Katherine Johnson,WEST,2024-01-01,E2E-sales-rep
105,Donald Knuth,CENTRAL,2024-01-01,E2E-sales-rep
106,Sales Rep 106,SOUTH,2024-01-01,E2E-sales-rep
107,Sales Rep 107,EAST,2024-01-01,E2E-sales-rep
108,Sales Rep 108,WEST,2024-01-01,E2E-sales-rep
109,Sales Rep 109,WEST,2024-01-01,E2E-sales-rep
110,Sales Rep 110,SOUTH,2024-01-01,E2E-sales-rep
111,Sales Rep 111,EAST,2024-01-01,E2E-sales-rep
112,Sales Rep 112,SOUTH,2024-01-01,E2E-sales-rep
113,Sales Rep 113,SOUTH,2024-01-01,E2E-sales-rep
114,Sales Rep 114,WEST,2024-01-01,E2E-sales-rep
115,Sales Rep 115,NORTH,2024-01-01,E2E-sales-rep
116,Sales Rep 116,EAST,2024-01-01,E2E-sales-rep
117,Sales Rep 117,NORTH,2024-01-01,E2E-sales-rep
118,Sales Rep 118,SOUTH,2024-01-01,E2E-sales-rep
119,Sales Rep 119,WEST,2024-01-01,E2E-sales-rep
120,Sales Rep 120,SOUTH,2024-01-01,E2E-sales-rep
121,Sales Rep 121,EAST,2024-01-01,E2E-sales-rep
122,Sales Rep 122,WEST,2024-01-01,E2E-sales-rep
123,Sales Rep 123,WEST,2024-01-01,E2E-sales-rep
124,Sales Rep 124,WEST,2024-01-01,E2E-sales-rep
125,Sales Rep 125,CENTRAL,2024-01-01,E2E-sales-rep
